,book_id,chunk_id,book_title,genre,unique_speaker
0,7392_LibriVox_en,50h_00,descent of man and other stories,"geography, nature & history",4018
1,1588_LibriVox_en,50h_00,short history of the united states,"geography, nature & history",1901
2,2268_LibriVox_en,50h_00,aunt friendly s picture book,fiction,908
3,2682_LibriVox_en,50h_00,captain jim,fiction,3245
4,4699_LibriVox_en,50h_00,botchan,fiction,4174
5,6093_LibriVox_en,50h_00,just william,fiction,6454
6,1812_LibriVox_en,50h_00,adventures of jimmy skunk,"science, craft & essay",1121
7,4563_LibriVox_en,50h_00,princess priscilla s fortnight,fiction,3906
8,7279_LibriVox_en,50h_00,two bears and other sermons for children,religion,3645
9,541_LibriVox_en,50h_00,more goops and how not to be them,poetry,204
10,5416_LibriVox_en,50h_01,waste land version 3,poetry,1259
11,8807_LibriVox_en,50h_01,eryxias,"science, craft & essay",3114
12,7214_LibriVox_en,50h_01,story of doctor dolittle version 2,"science, craft & essay",5717
13,1278_LibriVox_en,50h_01,sleep book,poetry,1335
14,2410_LibriVox_en,50h_01,invisible links,fiction,2234
15,3047_LibriVox_en,50h_01,life of honorable william f cody known as buffalo bill the famous hunter scout and guide,"geography, nature & history",3664
16,3237_LibriVox_en,50h_01,winsome winnie and other new nonsense novels,juvenile books,3157
17,7561_LibriVox_en,50h_01,invaders from the infinite,"science, craft & essay",251
18,2566_LibriVox_en,50h_01,biography of a grizzly,"science, craft & essay",3020
19,6620_LibriVox_en,50h_01,miss mackenzie,fiction,5789
20,4211_LibriVox_en,50h_02,madame butterfly,"geography, nature & history",4174
21,5975_LibriVox_en,50h_02,lovels of arden,fiction,5968
22,8307_LibriVox_en,50h_02,expository thoughts on the gospels st luke vol 2,religion,3645
23,3662_LibriVox_en,50h_02,aliens,"science, craft & essay",3906
24,6272_LibriVox_en,50h_02,night side of new york,"science, craft & essay",4191
25,4136_LibriVox_en,50h_02,mark twain s burlesque autobiography and first romance,juvenile books,107
26,7173_LibriVox_en,50h_02,behavior of the honey bee in pollen collecting,"science, craft & essay",2156
27,8226_LibriVox_en,50h_02,world that couldn t be version 2,"science, craft & essay",5717
28,6087_LibriVox_en,50h_03,uncle remus returns,"geography, nature & history",5717
29,8298_LibriVox_en,50h_03,wheel of time,"geography, nature & history",6454
30,5304_LibriVox_en,50h_03,reminiscences of forts sumter and moultrie in 1860 61 version 2,political & philosophy,204
31,6449_LibriVox_en,50h_03,children s life of the bee,"science, craft & essay",5717
32,1422_LibriVox_en,50h_03,sisters,fiction,681
33,4193_LibriVox_en,50h_03,log of a cowboy,fiction,4078
34,4338_LibriVox_en,50h_03,interrupted,religion,3157
35,7285_LibriVox_en,50h_03,phantoms of reality,"science, craft & essay",4078
36,5384_LibriVox_en,50h_03,seven secrets,mystery,3488
37,8044_LibriVox_en,50h_04,magna moralia,"science, craft & essay",3114
38,7445_LibriVox_en,50h_04,first century message to twentieth century christians,religion,3645
39,3589_LibriVox_en,50h_04,greylorn version 2,"science, craft & essay",251
40,5438_LibriVox_en,50h_04,goldsmith s friend abroad again,fiction,107
41,3458_LibriVox_en,50h_04,sons and lovers,fiction,204
42,6270_LibriVox_en,50h_04,france in the nineteenth century,"geography, nature & history",5968
43,6057_LibriVox_en,50h_04,mag and margaret a story for girls,religion,3157
44,5871_LibriVox_en,50h_05,triplanetary first in the lensman series,"science, craft & essay",5717
45,5628_LibriVox_en,50h_05,reed anthony cowman an autobiography,fiction,4078
46,3003_LibriVox_en,50h_05,lewis and clark meriwether lewis and william clark,"geography, nature & history",2156
47,1087_LibriVox_en,50h_05,ozma of oz,fiction,100
48,5025_LibriVox_en,50h_05,laugh and live,"science, craft & essay",3488
49,3026_LibriVox_en,50h_05,ester ried s namesake,religion,3157
50,8698_LibriVox_en,50h_05,thuvia maid of mars version 3,"science, craft & essay",251
51,1826_LibriVox_en,50h_05,ethan frome,fiction,1259
52,2203_LibriVox_en,50h_05,birds of the air,"science, craft & essay",1841
53,3394_LibriVox_en,50h_06,bible wnt nt 05 acts,religion,2149
54,4844_LibriVox_en,50h_06,christmas comes but once a year,misc,2607
55,5949_LibriVox_en,50h_06,little tales of the desert,fiction,3657
56,3141_LibriVox_en,50h_06,bat wing,mystery,251
57,3438_LibriVox_en,50h_06,nightmare abbey,fiction,204
58,4847_LibriVox_en,50h_06,grace harlowe s second year at overton college,fiction,5468
59,8304_LibriVox_en,50h_06,ride proud rebel,fiction,4078
60,8051_LibriVox_en,50h_06,secret of the ninth planet version 2,"science, craft & essay",3488
61,7334_LibriVox_en,50h_06,red dust,"science, craft & essay",5717
62,5269_LibriVox_en,50h_06,voyage to arcturus,"science, craft & essay",251
63,8109_LibriVox_en,50h_07,mayor of casterbridge version 3,fiction,4712
64,3446_LibriVox_en,50h_07,adrift in new york,fiction,3584
65,8474_LibriVox_en,50h_07,helen in the editor s chair,fiction,3657
66,5262_LibriVox_en,50h_07,industrial conspiracies,"science, craft & essay",4078
67,2094_LibriVox_en,50h_07,tree dwellers,"science, craft & essay",688
68,5047_LibriVox_en,50h_07,hunger,fiction,4438
69,6600_LibriVox_en,50h_07,human machine,"science, craft & essay",2607
70,3411_LibriVox_en,50h_07,mary cary frequently martha,fiction,1752
71,8619_LibriVox_en,50h_07,and thus he came,religion,6454
72,4069_LibriVox_en,50h_07,wealth of nations book 5,"science, craft & essay",2201
73,4263_LibriVox_en,50h_08,chimes from a jester s bells,"geography, nature & history",1166
74,2314_LibriVox_en,50h_08,anne of the island version 2,fiction,103
75,4890_LibriVox_en,50h_08,innocents a story for lovers,fiction,5304
76,2201_LibriVox_en,50h_08,rock a bye library a book of fables,fiction,26
77,954_LibriVox_en,50h_08,jack and jill,fiction,188
78,3831_LibriVox_en,50h_08,creature from cleveland depths,"science, craft & essay",3490
79,503_LibriVox_en,50h_08,right ho jeeves,fiction,251
80,2226_LibriVox_en,50h_08,bible drv apocrypha deuterocanon baruch,religion,908
81,7495_LibriVox_en,50h_08,my hunt after the captain,"geography, nature & history",6454
82,4317_LibriVox_en,50h_08,eric brighteyes,fiction,4535
83,7235_LibriVox_en,50h_08,naudsonce,"science, craft & essay",5717
84,8410_LibriVox_en,50h_09,recluse,fiction,2196
85,8458_LibriVox_en,50h_09,changed man and other tales,fiction,6454
86,6911_LibriVox_en,50h_09,mystery of the hasty arrow,mystery,4078
87,3780_LibriVox_en,50h_09,sky is falling,fiction,103
88,8797_LibriVox_en,50h_09,blazed trail stories and stories of the wild life,fiction,6454
89,6606_LibriVox_en,50h_09,road to oz version 2,fiction,5717
90,8365_LibriVox_en,50h_09,collaboration,"geography, nature & history",6454
91,2224_LibriVox_en,50h_09,bible drv apocrypha deuterocanon additions to esther,religion,908
92,1050_LibriVox_en,50h_09,frog prince and other stories,fiction,1066
93,3659_LibriVox_en,50h_09,space prison,"science, craft & essay",251
94,5013_LibriVox_en,50h_10,ambassadors,fiction,4018
95,3455_LibriVox_en,50h_10,three dialogues between hylas and philonous,religion,3114
96,3263_LibriVox_en,50h_10,midnight,mystery,2156
97,6788_LibriVox_en,50h_10,amateur,fiction,5244
98,5489_LibriVox_en,50h_10,summer version 2,fiction,1259
99,1861_LibriVox_en,50h_10,dick sands the boy captain,fiction,2368
100,8052_LibriVox_en,50h_10,frog prince and other stories version 2,fiction,5717
101,4521_LibriVox_en,50h_10,bible kjv nt 15 1 timothy,religion,2911
102,5026_LibriVox_en,50h_10,adventures of a dog and a good dog too,"science, craft & essay",1901
103,4386_LibriVox_en,50h_10,talks by abdul baha given in paris,religion,1618
104,8230_LibriVox_en,50h_11,space platform,"science, craft & essay",251
105,5853_LibriVox_en,50h_11,with frederick the great a story of the seven years war,fiction,5545
106,5882_LibriVox_en,50h_11,emma mcchesney and company,fiction,5717
107,7259_LibriVox_en,50h_11,uncle wiggily s adventures,fiction,6415
108,7324_LibriVox_en,50h_11,hero and leander version 2,poetry,6249
109,8732_LibriVox_en,50h_11,sevastopol,fiction,6454
110,8466_LibriVox_en,50h_11,daily rate,religion,3157
111,4363_LibriVox_en,50h_11,translations imitations of german ballads,poetry,3793
112,6385_LibriVox_en,50h_11,american claimant,fiction,107
113,2618_LibriVox_en,50h_11,arabian art of taming and training wild and vicious horses,"science, craft & essay",3020
114,8286_LibriVox_en,50h_12,towards democracy,"science, craft & essay",3003
115,4868_LibriVox_en,50h_12,soul of man,"science, craft & essay",3595
116,7096_LibriVox_en,50h_12,spaceship named mcguire,"science, craft & essay",5717
117,3323_LibriVox_en,50h_12,princess and the goblin version 2,fiction,152
118,8374_LibriVox_en,50h_12,love letters of mrs piozzi written when she was eighty,"geography, nature & history",5244
119,4745_LibriVox_en,50h_12,let em breathe space,"science, craft & essay",3490
120,6925_LibriVox_en,50h_12,what sami sings with the birds,fiction,6415
121,5267_LibriVox_en,50h_12,mansfield park version 2,fiction,103
122,2393_LibriVox_en,50h_12,adventures of sally,fiction,19
123,8804_LibriVox_en,50h_12,inventions of the great war,"science, craft & essay",6454
124,2803_LibriVox_en,50h_12,popular history of ireland book 09,"geography, nature & history",1401
125,3902_LibriVox_en,50h_13,awakening version 2,fiction,1259
126,5709_LibriVox_en,50h_13,roast beef medium,fiction,5717
127,6762_LibriVox_en,50h_13,legend of sleepy hollow version 2,fiction,3912
128,6584_LibriVox_en,50h_13,middlemarch version 2,fiction,4064
129,3979_LibriVox_en,50h_13,ballads of lost haven a book of the sea,poetry,3923
130,4916_LibriVox_en,50h_13,narrative of the most remarkable particulars in the life of james albert ukawsaw gronniosaw,religion,3157
131,7805_LibriVox_en,50h_13,over the plum pudding,fiction,6454
132,8122_LibriVox_en,50h_13,tenting to night a chronicle of sport and adventure in glacier park and the cascade mountains,"science, craft & essay",6454
133,6110_LibriVox_en,50h_14,oliver twist version 4,fiction,4344
134,5660_LibriVox_en,50h_14,behind a mask or a woman s power,fiction,1259
135,1843_LibriVox_en,50h_14,tale of daddy long legs,"science, craft & essay",681
136,6559_LibriVox_en,50h_14,albert gate mystery,mystery,5244
137,3950_LibriVox_en,50h_14,wanderings of oisin,"geography, nature & history",3793
138,1496_LibriVox_en,50h_14,won by crime,mystery,1401
139,6534_LibriVox_en,50h_14,soaked in seaweed and 7 other nonsense novels,juvenile books,5717
140,8468_LibriVox_en,50h_14,dog ghosts,religion,6454
141,7599_LibriVox_en,50h_14,reginald in russia and other sketches,"geography, nature & history",6965
142,5818_LibriVox_en,50h_14,land of little rain,"science, craft & essay",3003
143,242_LibriVox_en,50h_14,reluctant dragon,fiction,204
144,5515_LibriVox_en,50h_14,diary of a goose girl,fiction,4667
145,6158_LibriVox_en,50h_14,diary written in the provincial lunatic asylum,"geography, nature & history",6292
146,994_LibriVox_en,50h_14,omnilingual,"science, craft & essay",251
147,1872_LibriVox_en,50h_15,storm over warlock,"science, craft & essay",2317
148,4246_LibriVox_en,50h_15,planet savers,"science, craft & essay",251
149,4752_LibriVox_en,50h_15,room in the dragon volant,fiction,1259
150,2220_LibriVox_en,50h_15,dog s tale,fiction,2110
151,1793_LibriVox_en,50h_15,letters from england 1846 1849,"science, craft & essay",1401
152,6176_LibriVox_en,50h_15,colored cadet at west point,"science, craft & essay",5985
153,621_LibriVox_en,50h_15,parasite,fiction,764
154,6439_LibriVox_en,50h_15,crystal stopper,mystery,5968
155,7011_LibriVox_en,50h_15,homely heroine,fiction,5717
156,1303_LibriVox_en,50h_15,tarzan of the apes,fiction,204
157,4262_LibriVox_en,50h_16,on interpretation,"science, craft & essay",3114
158,2936_LibriVox_en,50h_16,what diantha did,fiction,32
159,6895_LibriVox_en,50h_16,defenders,"science, craft & essay",5717
160,7755_LibriVox_en,50h_16,shadows in the moonlight,fiction,5717
161,2397_LibriVox_en,50h_16,green mansions a romance of the tropical forest,fiction,204
162,5014_LibriVox_en,50h_16,asteroid of fear,"science, craft & essay",3490
163,3080_LibriVox_en,50h_16,history of egypt chaldea syria babylonia and assyria vol 1,poetry,1401
164,414_LibriVox_en,50h_16,stolen white elephant,mystery,89
165,6362_LibriVox_en,50h_16,1601 conversation as it was by the social fireside in the time of the tudors version 2,fiction,107
166,3361_LibriVox_en,50h_16,tale of benny badger,"science, craft & essay",681
167,4714_LibriVox_en,50h_16,divers women,religion,3157
168,3067_LibriVox_en,50h_16,first love,fiction,3595
169,5027_LibriVox_en,50h_16,treatise on purgatory,religion,3681
170,867_LibriVox_en,50h_16,stories from pentamerone,"geography, nature & history",466
171,3191_LibriVox_en,50h_16,adrift on an ice pan,"geography, nature & history",3923
172,7774_LibriVox_en,50h_17,kashtanka,fiction,4191
173,3992_LibriVox_en,50h_17,omoo a narrative of adventures in the south seas,"geography, nature & history",3157
174,6826_LibriVox_en,50h_17,gabriel and the hour book,fiction,5778
175,170_LibriVox_en,50h_17,declaration of independence of the united states of america,"science, craft & essay",273
176,8650_LibriVox_en,50h_17,art of war version 4,"science, craft & essay",3912
177,4220_LibriVox_en,50h_17,status civilization,"science, craft & essay",3490
178,6184_LibriVox_en,50h_17,richard ii makers of history,"geography, nature & history",5968
179,6297_LibriVox_en,50h_17,pentecost of calamity,"science, craft & essay",6454
180,5379_LibriVox_en,50h_17,curious republic of gondour and other whimsical sketches,"geography, nature & history",107
181,3328_LibriVox_en,50h_17,chautauqua girls at home,religion,3157
182,4963_LibriVox_en,50h_17,skylark of space version 2,"science, craft & essay",5717
183,2706_LibriVox_en,50h_17,poison belt,"science, craft & essay",204
184,2736_LibriVox_en,50h_18,superstition of divorce,"science, craft & essay",2162
185,8384_LibriVox_en,50h_18,among typhoons and pirate craft,"geography, nature & history",6454
186,5339_LibriVox_en,50h_18,tom swift in captivity,fiction,3488
187,861_LibriVox_en,50h_18,on the duty of civil disobedience,"science, craft & essay",17
188,4432_LibriVox_en,50h_18,tom swift and the electronic hydrolung,"science, craft & essay",204
189,8082_LibriVox_en,50h_18,anthem version 3,"science, craft & essay",5717
190,6580_LibriVox_en,50h_18,great white queen,"science, craft & essay",3488
191,6608_LibriVox_en,50h_18,considerations on representative government,"science, craft & essay",4788
192,7278_LibriVox_en,50h_18,cranford version 2,"geography, nature & history",6965
193,3516_LibriVox_en,50h_18,mental efficiency,"science, craft & essay",2607
194,6114_LibriVox_en,50h_18,echoes of the war,political & philosophy,6497
195,3775_LibriVox_en,50h_18,fisherman and his soul,fiction,3490
196,1586_LibriVox_en,50h_19,dog crusoe and his master,fiction,1901
197,6331_LibriVox_en,50h_19,jimmyjohn boss and other stories,fiction,6454
198,8254_LibriVox_en,50h_19,from the darkness cometh the light or struggles for freedom,political & philosophy,5985
199,7207_LibriVox_en,50h_19,watchbird,"science, craft & essay",5717
200,3989_LibriVox_en,50h_19,beauties of tennyson,poetry,908
201,3385_LibriVox_en,50h_19,voyage to the south sea,"geography, nature & history",2990
202,8234_LibriVox_en,50h_19,philosophical enquiry,"science, craft & essay",1769
203,6204_LibriVox_en,50h_19,jennie gerhardt,fiction,4078
204,4098_LibriVox_en,50h_20,pee wee harris,fiction,3488
205,6117_LibriVox_en,50h_20,john caldigate,fiction,1255
206,2207_LibriVox_en,50h_20,bible drv apocrypha deuterocanon wisdom,religion,908
207,8021_LibriVox_en,50h_20,story of a soul version 2,religion,8295
208,7372_LibriVox_en,50h_20,hero of our time,fiction,7786
209,4538_LibriVox_en,50h_20,bible kjv nt 16 2 timothy,religion,2911
210,5958_LibriVox_en,50h_20,feast of st friend,"science, craft & essay",2607
211,6816_LibriVox_en,50h_20,hunter patrol,"science, craft & essay",5717
212,1603_LibriVox_en,50h_20,fifty famous stories retold,misc,1841
213,3188_LibriVox_en,50h_21,book of the national parks,"geography, nature & history",688
214,1200_LibriVox_en,50h_21,moon metal,"science, craft & essay",32
215,7258_LibriVox_en,50h_21,in a steamer chair and other stories,fiction,6454
216,7529_LibriVox_en,50h_21,valley of the moon,fiction,4078
217,4960_LibriVox_en,50h_21,horse s tale,fiction,3490
218,7118_LibriVox_en,50h_21,my buried treasure,fiction,5244
219,4615_LibriVox_en,50h_21,on the trail of don quixote being a record of rambles in the ancient province of la mancha,"science, craft & essay",3003
220,2027_LibriVox_en,50h_21,siddhartha,religion,1331
221,4537_LibriVox_en,50h_21,bible kjv 08 ruth,religion,3157
222,8205_LibriVox_en,50h_22,wounds in the rain war stories,fiction,6454
223,4689_LibriVox_en,50h_22,lara a tale,poetry,3793
224,6585_LibriVox_en,50h_22,children of the ghetto,fiction,1331
225,7518_LibriVox_en,50h_22,oblomov,"geography, nature & history",7786
226,684_LibriVox_en,50h_22,riddle of the sands,fiction,20
227,3061_LibriVox_en,50h_22,mary louise and the liberty girls,mystery,1401
228,6679_LibriVox_en,50h_22,arm of the law,"science, craft & essay",5717
229,3881_LibriVox_en,50h_22,tom sawyer detective,mystery,107
230,4618_LibriVox_en,50h_23,soul of the indian,religion,5536
231,3202_LibriVox_en,50h_23,petit nord,"geography, nature & history",3923
232,8631_LibriVox_en,50h_23,complete works of george savile first marquess of halifax with an introduction by walter alexander raleigh,"geography, nature & history",107
233,7623_LibriVox_en,50h_23,first successful ascent of mt rainier 1870,"geography, nature & history",3003
234,8293_LibriVox_en,50h_23,importance of being earnest version 4,psychology,5717
235,3676_LibriVox_en,50h_23,little fuzzy,"science, craft & essay",3906
236,7764_LibriVox_en,50h_23,in time of emergency a citizen s handbook on nuclear attack natural disasters,"science, craft & essay",3157
237,8459_LibriVox_en,50h_23,life s little ironies a set of tales with some colloquial sketches entitled a few crusted characters,fiction,6454
238,1157_LibriVox_en,50h_23,gettysburg address version 3,"science, craft & essay",204
239,7089_LibriVox_en,50h_23,best british short stories of 1922,"science, craft & essay",6454
240,8423_LibriVox_en,50h_24,eyebright,fiction,7756
241,192_LibriVox_en,50h_24,johnny crow s garden,"science, craft & essay",19
242,2479_LibriVox_en,50h_24,popular history of ireland book 06,"geography, nature & history",1401
243,2560_LibriVox_en,50h_24,life of cicero vol ii,"geography, nature & history",2297
244,7680_LibriVox_en,50h_24,patchwork girl of oz version 2,fiction,5717
245,7335_LibriVox_en,50h_24,touch of the sun and other stories,fiction,6454
246,305_LibriVox_en,50h_24,bible drv apocrypha deuterocanon judith,religion,27
247,5589_LibriVox_en,50h_24,rhymed receipts for any occasion,poetry,32
248,4720_LibriVox_en,50h_24,pocket island,fiction,2156
249,8448_LibriVox_en,50h_24,household puzzles,religion,3157
250,4840_LibriVox_en,50h_24,one hoss shay,poetry,1066
251,7490_LibriVox_en,50h_24,rose child,"geography, nature & history",6415
252,7532_LibriVox_en,50h_25,jewels of aptor,"science, craft & essay",3657
253,4982_LibriVox_en,50h_25,battle of marathon,poetry,3793
254,5710_LibriVox_en,50h_25,game,fiction,2990
255,3689_LibriVox_en,50h_25,this country of ours part 4,"geography, nature & history",19
256,8594_LibriVox_en,50h_25,scarecrow of oz version 2,fiction,5717
257,1096_LibriVox_en,50h_25,bird study book,"science, craft & essay",688
258,5083_LibriVox_en,50h_25,billy whiskers the autobiography of a goat,fiction,1901
259,8283_LibriVox_en,50h_25,journal of a residence on a georgian plantation 1838 1839,political & philosophy,5985
260,2127_LibriVox_en,50h_25,old maids club,fiction,3157
261,3880_LibriVox_en,50h_25,first book of adam and eve,religion,3681
262,2113_LibriVox_en,50h_25,story of abraham lincoln,misc,1121
263,404_LibriVox_en,50h_25,rocket book,poetry,26
264,7616_LibriVox_en,50h_26,hour of the dragon,fiction,251
265,4347_LibriVox_en,50h_26,bible kjv nt 10 ephesians,religion,5293
266,4922_LibriVox_en,50h_26,mothering on perilous,fiction,5778
267,579_LibriVox_en,50h_26,story of the treasure seekers,fiction,103
268,6266_LibriVox_en,50h_26,gargoyles,fiction,2156
269,7261_LibriVox_en,50h_26,anarchy,"science, craft & essay",1724
270,8822_LibriVox_en,50h_26,frey and his wife,misc,6248
271,5885_LibriVox_en,50h_26,ethan frome version 2,fiction,3912
272,8383_LibriVox_en,50h_26,that pup,fiction,6454
273,8522_LibriVox_en,50h_26,practice of the presence of god version 2,religion,5717
274,7807_LibriVox_en,50h_26,pauline s passion and punishment,fiction,1259
275,1481_LibriVox_en,50h_26,sammie and susie littletail,"science, craft & essay",1335
276,7686_LibriVox_en,50h_26,tom of the raiders,fiction,4535
277,998_LibriVox_en,50h_27,no thoroughfare,fiction,1179
278,7994_LibriVox_en,50h_27,legend of sleepy hollow version 3,fiction,5717
279,5789_LibriVox_en,50h_27,gunman s reckoning,fiction,4078
280,5184_LibriVox_en,50h_27,by ox team to california a narrative of crossing the plains in 1860,"geography, nature & history",3003
281,2363_LibriVox_en,50h_27,detailed minutiae of soldier life in the army of northern virginia 1861 1865,political & philosophy,2827
282,4955_LibriVox_en,50h_27,jyl of breyntfords testament,poetry,4191
283,7983_LibriVox_en,50h_27,abaft the funnel,"geography, nature & history",6454
284,599_LibriVox_en,50h_27,railway children,fiction,103
285,1269_LibriVox_en,50h_27,tale of peter mink,"science, craft & essay",681
286,2089_LibriVox_en,50h_27,poems of william blake,poetry,908
287,5726_LibriVox_en,50h_27,de anima,"science, craft & essay",3114
288,6896_LibriVox_en,50h_27,essays and literary studies,"geography, nature & history",3157
289,3104_LibriVox_en,50h_27,stars my brothers,"science, craft & essay",3490
290,6372_LibriVox_en,50h_28,world beyond,"science, craft & essay",4078
291,7756_LibriVox_en,50h_28,waiting on god,religion,7424
292,5916_LibriVox_en,50h_28,friendship of christ,religion,6499
293,5510_LibriVox_en,50h_28,case of the golden bullet,mystery,1970
294,8043_LibriVox_en,50h_28,red battle flyer,political & philosophy,3488
295,4694_LibriVox_en,50h_28,curtezan unmasked,religion,26
296,6384_LibriVox_en,50h_28,freedmen s book,poetry,2269
297,2215_LibriVox_en,50h_28,haunted bookshop,mystery,688
298,392_LibriVox_en,50h_28,golden goose book,fiction,19
299,4290_LibriVox_en,50h_28,to have and to hold,fiction,3488
300,7619_LibriVox_en,50h_28,adventures of bindle,fiction,5304
301,8620_LibriVox_en,50h_28,comic english grammar,"science, craft & essay",2607
302,5563_LibriVox_en,50h_29,text book of assaying,"science, craft & essay",167
303,4087_LibriVox_en,50h_29,william tell told again,fiction,204
304,3421_LibriVox_en,50h_29,ruth erskine s crosses,religion,3157
305,6446_LibriVox_en,50h_29,right of way,fiction,3488
306,4818_LibriVox_en,50h_29,black amazon of mars,"science, craft & essay",3490
307,7397_LibriVox_en,50h_29,tunnel under the world,"science, craft & essay",5717
308,4940_LibriVox_en,50h_30,uncle remus and brer rabbit,fiction,5717
309,4986_LibriVox_en,50h_30,storm over warlock version 2,"science, craft & essay",251
310,4677_LibriVox_en,50h_30,white fang version 2,fiction,204
311,5855_LibriVox_en,50h_30,lure of the labrador wild,"geography, nature & history",3488
312,2951_LibriVox_en,50h_30,tale of major monkey,"science, craft & essay",681
313,6910_LibriVox_en,50h_30,treatise of religion,poetry,6974
314,3768_LibriVox_en,50h_30,samson agonistes,poetry,3595
315,1738_LibriVox_en,50h_30,heretics,"science, craft & essay",2162
316,1704_LibriVox_en,50h_30,lady s life on a farm in manitoba,"geography, nature & history",1401
317,6139_LibriVox_en,50h_30,history of standard oil volume 2,"science, craft & essay",3488
